FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,1,24,25,26,27,26,29,24,31 poly=1,32,465,4077,24158,102619,323214,769357,1396285,1932630,2023254,1572578,877821,332076,76296,8212,88,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,1,24,25,26,27,24,29,30,31 poly=1,32,465,4076,24133,102343,321428,761790,1374126,1886601,1954956,1500904,826197,308067,69922,7498,84,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,1,24,25,26,27,24,29,24,31 poly=1,32,465,4078,24182,102875,324828,776087,1415909,1973774,2085877,1641352,931025,359621,84877,9436,92,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,1,24,25,26,25,24,29,24,31 poly=1,32,465,4079,24206,103130,326424,782674,1434872,2012948,2144550,1704758,979413,384541,92796,10708,145,2 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,2,7,8,9,2,11,12,13,1,15,16,17,18,15,20,21,22,15,24,1,26,27,26,29,26,31 poly=1,32,465,4070,23992,100872,312426,725832,1275467,1696208,1695023,1252270,664088,239828,53265,5686,72,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,2,7,8,9,2,11,12,13,1,15,16,17,18,15,20,21,22,1,24,25,24,27,24,29,24,31 poly=1,32,465,4071,24015,101105,313795,731001,1288593,1718994,1721933,1273316,674345,242536,53496,5659,71,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,2,7,8,9,2,11,12,13,1,15,16,17,18,15,20,15,22,15,24,1,26,27,28,29,26,31 poly=1,32,465,4071,24015,101107,313834,731330,1290170,1723736,1731248,1285378,684477,247811,55042,5862,76,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,2,7,8,9,2,11,12,13,1,15,16,17,18,15,20,15,22,15,24,1,26,27,26,29,26,31 poly=1,32,465,4073,24063,101621,317078,744760,1328579,1801553,1843846,1400998,766798,286490,65845,7224,77,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,2,7,8,9,2,11,12,13,1,15,16,17,18,15,20,15,22,1,24,25,26,27,24,29,24,31 poly=1,32,465,4070,23992,100872,312426,725831,1275451,1696101,1694633,1251424,662970,238946,52880,5611,70,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,2,7,8,9,2,11,12,13,1,15,16,17,18,15,20,15,22,1,24,25,24,27,24,29,24,31 poly=1,32,465,4073,24063,101620,317059,744603,1327836,1799323,1839410,1395070,761531,283496,64848,7068,73,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,2,7,8,9,2,11,12,13,1,15,16,17,18,15,20,1,22,23,22,25,22,27,22,29,22,31 poly=1,32,465,4075,24108,102070,319701,754734,1354531,1848814,1904358,1454865,799166,298887,68554,7489,83,1 breaks=16(dist5)
STATS n=32 trees=1728161939 failures=39 alarms=0
